item name,exercise id,link
vufsw-residuals-0037-nl,118634,https://app.grasple.com/#/challenge/118634
vufsw-standardized_coefficient-1230-en,118635,https://app.grasple.com/#/challenge/118635
vufsw-confidence_interval-1280-en,118636,https://app.grasple.com/#/challenge/118636
vufsw-rsquared-0229-nl,118637,https://app.grasple.com/#/challenge/118637
vufsw-sum_of_squares-2067-nl,118638,https://app.grasple.com/#/challenge/118638
vufsw-manova-1070-en,118639,https://app.grasple.com/#/challenge/118639
vufsw-mixeddesignanova-0251-en,118640,https://app.grasple.com/#/challenge/118640
vufsw-anova_f-test-1100-en,118641,https://app.grasple.com/#/challenge/118641
vufsw-mediation-0303-nl,118642,https://app.grasple.com/#/challenge/118642
vufsw-pvalue-0091-nl,118643,https://app.grasple.com/#/challenge/118643
vufsw-moderation-2053-nl,118644,https://app.grasple.com/#/challenge/118644
vufsw-slope-1273-en,118645,https://app.grasple.com/#/challenge/118645
vufsw-correlation-0132-en,118646,https://app.grasple.com/#/challenge/118646
vufsw-mediation-2022-nl,118647,https://app.grasple.com/#/challenge/118647
vufsw-mixed_design_anova-1065-en,118648,https://app.grasple.com/#/challenge/118648
vufsw-twoway_anova-1376-nl,118649,https://app.grasple.com/#/challenge/118649
vufsw-dummies-2065-nl,118650,https://app.grasple.com/#/challenge/118650
vufsw-analysis-1213-nl,118651,https://app.grasple.com/#/challenge/118651
vufsw-paired_samples-1275-en,118652,https://app.grasple.com/#/challenge/118652
vufsw-manova-0272-nl,118653,https://app.grasple.com/#/challenge/118653
vufsw-manova-0262-nl,118654,https://app.grasple.com/#/challenge/118654
vufsw-null_hypothesis-1172-en,118655,https://app.grasple.com/#/challenge/118655
vufsw-anovaftest-1010-en,118656,https://app.grasple.com/#/challenge/118656
vufsw-ancova-0254-nl,118657,https://app.grasple.com/#/challenge/118657
vufsw-nhst-0162-nl,118658,https://app.grasple.com/#/challenge/118658
vufsw-independent_events-1267-en,118659,https://app.grasple.com/#/challenge/118659
vufsw-ancova-2075-en,118660,https://app.grasple.com/#/challenge/118660
vufsw-slope-2054-nl,118661,https://app.grasple.com/#/challenge/118661
vufsw-pairedsamples-0141-nl,118662,https://app.grasple.com/#/challenge/118662
vufsw-slope-2044-nl,118663,https://app.grasple.com/#/challenge/118663
vufsw-moderation-2104-nl,118664,https://app.grasple.com/#/challenge/118664
vufsw-onewayrepeatedmeasuresanova-0321-nl,118665,https://app.grasple.com/#/challenge/118665
vufsw-moderation-1306-nl,118666,https://app.grasple.com/#/challenge/118666
vufsw-moderation-1274-en,118667,https://app.grasple.com/#/challenge/118667
vufsw-paired_samples-1147-en,118668,https://app.grasple.com/#/challenge/118668
vufsw-t-test-1006-en,118669,https://app.grasple.com/#/challenge/118669
vufsw-slope-2062-nl,118670,https://app.grasple.com/#/challenge/118670
vufsw-onesidedhypothesis-1167-en,118671,https://app.grasple.com/#/challenge/118671
vufsw-prediction-2056-nl,118672,https://app.grasple.com/#/challenge/118672
vufsw-moderation-2081-nl,118673,https://app.grasple.com/#/challenge/118673
vufsw-t-statistic-1165-en,118674,https://app.grasple.com/#/challenge/118674
vufsw-manova-1073-nl,118675,https://app.grasple.com/#/challenge/118675
vufsw-equation-0157-nl,118676,https://app.grasple.com/#/challenge/118676
vufsw-rsquared-0087-nl,118677,https://app.grasple.com/#/challenge/118677
vufsw-standarderroroftheestimate-0083-nl,118678,https://app.grasple.com/#/challenge/118678
vufsw-confidenceinterval-0066-nl,118679,https://app.grasple.com/#/challenge/118679
vufsw-onewayanova-0257-nl,118680,https://app.grasple.com/#/challenge/118680
vufsw-pvalue-0088-nl,118681,https://app.grasple.com/#/challenge/118681
vufsw-typeiierror-1173-en,118682,https://app.grasple.com/#/challenge/118682
vufsw-mixed_design_anova-1059-nl,118683,https://app.grasple.com/#/challenge/118683
vufsw-multiple_linear_regression-1215-en,118684,https://app.grasple.com/#/challenge/118684
vufsw-mediation-0296-nl,118685,https://app.grasple.com/#/challenge/118685
vufsw-simplelinearregression-1005-en,118686,https://app.grasple.com/#/challenge/118686
vufsw-ancova-2076-nl,118687,https://app.grasple.com/#/challenge/118687
vufsw-mediation-2014-nl,118688,https://app.grasple.com/#/challenge/118688
vufsw-mediation-2004-nl,118689,https://app.grasple.com/#/challenge/118689
vufsw-samplingdistributions-0082-nl,118690,https://app.grasple.com/#/challenge/118690
vufsw-moderation-1305-en,118691,https://app.grasple.com/#/challenge/118691
vufsw-equation-1023-en,118692,https://app.grasple.com/#/challenge/118692
vufsw-alternativehypothesis-0223-nl,118693,https://app.grasple.com/#/challenge/118693
vufsw-manova-1046-en,118694,https://app.grasple.com/#/challenge/118694
vufsw-correlation-1351-en,118695,https://app.grasple.com/#/challenge/118695
vufsw-slope-2086-nl,118696,https://app.grasple.com/#/challenge/118696
vufsw-multiplelinearregression-1002-en,118697,https://app.grasple.com/#/challenge/118697
vufsw-ancova-0273-nl,118698,https://app.grasple.com/#/challenge/118698
vufsw-standardizedcoefficient-0155-nl,118699,https://app.grasple.com/#/challenge/118699
vufsw-typeierror-0217-nl,118700,https://app.grasple.com/#/challenge/118700
vufsw-slope-1309-nl,118701,https://app.grasple.com/#/challenge/118701
vufsw-moderation-0312-en,118702,https://app.grasple.com/#/challenge/118702
vufsw-explainedvariance-0170-en,118703,https://app.grasple.com/#/challenge/118703
vufsw-simple_linear_regression-1143,118704,https://app.grasple.com/#/challenge/118704
vufsw-moderation-0318-nl,118705,https://app.grasple.com/#/challenge/118705
vufsw-mixeddesignanova-0249-en,118706,https://app.grasple.com/#/challenge/118706
vufsw-coefficientttest-1187-nl,118707,https://app.grasple.com/#/challenge/118707
vufsw-onewayanova-0256-nl,118708,https://app.grasple.com/#/challenge/118708
vufsw-statistical_errors-1244-en,118709,https://app.grasple.com/#/challenge/118709
vufsw-moderation-2090-nl,118710,https://app.grasple.com/#/challenge/118710
vufsw-moderation-2080-nl,118711,https://app.grasple.com/#/challenge/118711
